"id","fqdn/ip","port","severity","finding","cve","cwe"
"ROBOT","www.telerc.travail.gouv.fr/164.131.124.212","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","www.telerc.travail.gouv.fr/164.131.124.212","443","OK","supported","","CWE-310"
"secure_client_renego","www.telerc.travail.gouv.fr/164.131.124.212","443","OK","not vulnerable, mitigated","CVE-2011-1473","CWE-310"
"CRIME_TLS","www.telerc.travail.gouv.fr/164.131.124.212","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","www.telerc.travail.gouv.fr/164.131.124.212","443","OK","not vulnerable, no gzip/deflate/compress/br HTTP compression  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","www.telerc.travail.gouv.fr/164.131.124.212","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","www.telerc.travail.gouv.fr/164.131.124.212","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","www.telerc.travail.gouv.fr/164.131.124.212","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","www.telerc.travail.gouv.fr/164.131.124.212","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","www.telerc.travail.gouv.fr/164.131.124.212","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://search.censys.io/search?resource=hosts&virtual_hosts=INCLUDE&q=D30B064843ED2BDA9F3FE129389C089A0ED8B504BDC37DAD5C0A909187D5D9B1","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","www.telerc.travail.gouv.fr/164.131.124.212","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","www.telerc.travail.gouv.fr/164.131.124.212","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST","www.telerc.travail.gouv.fr/164.131.124.212","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","www.telerc.travail.gouv.fr/164.131.124.212","443","LOW","potentially vulnerable, uses TLS CBC ciphers","CVE-2013-0169","CWE-310"
"winshock","www.telerc.travail.gouv.fr/164.131.124.212","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","www.telerc.travail.gouv.fr/164.131.124.212","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_60","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_70","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_81","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_90","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_X","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_11","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_12","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-chrome_79_win10","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-chrome_101_win10","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-firefox_66_win81","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-firefox_100_win10","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-ie_6_xp","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","No connection","",""
"clientsimulation-ie_8_win7","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","No connection","",""
"clientsimulation-ie_8_xp","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","No connection","",""
"clientsimulation-ie_11_win7","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-ie_11_win81","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-ie_11_winphone81","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-ie_11_win10","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_15_win10","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_101_win10_21h2","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-safari_121_ios_122","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-safari_130_osx_10146","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-safari_154_osx_1231","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-java_7u25","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","No connection","",""
"clientsimulation-java_8u161","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-java1102","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-java1703","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-go_1178","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-libressl_283","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_102e","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_110l","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_111d","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_303","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-apple_mail_16_0","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-thunderbird_91_9","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"rating_spec","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","SSL Labs's 'SSL Server Rating Guide' (version 2009q from 2020-01-30)","",""
"rating_doc","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","https://github.com/ssllabs/research/wiki/SSL-Server-Rating-Guide","",""
"protocol_support_score","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","0","",""
"protocol_support_score_weighted","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","0","",""
"key_exchange_score","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","0","",""
"key_exchange_score_weighted","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","0","",""
"cipher_strength_score","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","0","",""
"cipher_strength_score_weighted","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","0","",""
"final_score","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","0","",""
"overall_grade","www.telerc.travail.gouv.fr/164.131.124.212","443","CRITICAL","T","",""
"grade_cap_reason_1","www.telerc.travail.gouv.fr/164.131.124.212","443","INFO","Grade capped to T. Issues with the chain of trust (chain incomplete)","",""
